pce_max,FA,MA,Cs,Rb,Pb,Sn,I,Br,Cl,effective_area,anneal_T1,anneal_t1,anneal_T2,anneal_t2,encapsulation,ISOS-test_type,Temperature,RH,Sun,thickness,stable,deposit_type_Encoded,deposit_step_Encoded,anti_solution_Encoded,anti_add_Encoded,precursor_solution_Encoded,precursor_add_Encoded,structure_Encoded,substrate_Encoded,electrode_Encoded,ETL_Encoded,ETL-2_Encoded,ETL_add_Encoded,HTL_Encoded,HTL-2_Encoded,HTL_add_Encoded,up_passive_Encoded,down_passive_Encoded,anneal_atmosphere_Encoded,Is_FAMACs,Is_FACs,double_element,Is_FA,single_element,Is_FAMA,Is_Cs,Is_MA,tf,miu
0.261,0.95,0.0,0.05,0.0,1.0,0.0,3.0,0.0,0.0,0.09,100,30.0,0,0,0,5.0,45.0,30.0,100.0,5,1.0,5,1,0,32,6,150,0,2,0,6,2,31,38,13,37,167,9,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776453781308926,0.5409090909090909
0.261,0.95,0.0,0.05,0.0,1.0,0.0,3.0,0.0,0.0,0.09,100,30.0,0,0,0,9.0,85.0,85.0,0.0,5,1.0,5,1,0,32,6,150,0,2,0,6,2,31,38,13,37,167,9,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776453781308926,0.5409090909090909
0.2608,0.95,0.0,0.05,0.0,1.0,0.0,3.0,0.0,0.0,0.07485,100,30.0,0,0,0,4.0,25.0,0.0,0.0,8,1.0,5,1,0,32,6,79,0,2,0,3,3,38,49,15,37,110,68,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776453781308926,0.5409090909090909
0.2608,0.95,0.0,0.05,0.0,1.0,0.0,3.0,0.0,0.0,0.07485,100,30.0,0,0,1,9.0,85.0,85.0,0.0,8,1.0,5,1,0,32,6,79,0,2,0,3,3,38,49,15,37,110,68,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.9776453781308926,0.5409090909090909
0.2594,0.95,0.0,0.0,0.05,1.0,0.0,3.0,0.0,0.0,0.07461,150,15.0,0,0,0,10.0,50.0,0.0,100.0,7,0.0,3,2,10,32,7,78,1,0,3,11,27,38,56,15,19,167,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9756638054634629,0.5409090909090909
0.258,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.05,150,15.0,0,0,0,1.0,25.0,0.0,0.0,5,1.0,2,1,6,32,6,78,1,0,14,11,27,38,56,15,17,101,33,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.258,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.05,150,15.0,0,0,1,11.0,55.0,55.0,100.0,5,1.0,2,1,6,32,6,78,1,0,14,11,27,38,56,15,17,101,33,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.258,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.05,150,15.0,0,0,0,4.0,25.0,0.0,100.0,5,1.0,2,1,6,32,6,78,1,0,14,11,27,38,56,15,17,101,33,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2572,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.09,120,10.0,0,0,0,1.0,25.0,0.0,0.0,6,1.0,2,1,6,32,6,78,1,0,3,11,27,1,56,15,19,167,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
0.2572,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.09,120,10.0,0,0,1,5.0,25.0,25.0,100.0,6,1.0,2,1,6,32,6,78,1,0,3,11,27,1,56,15,19,167,68,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.9866146017834696,0.5409090909090909
